arm,system,gamma,client,model,bank,carrier_half,class_index,positive_routing_energy,total_routing_norm_sq,positive_profile_share,total_profile_share,cross_half_positive_profile_cosine,cross_bank_positive_profile_cosine,probe_top_class_count,probe_top_class_fraction,mean_margin_when_top
l9,local,9,0,ResNet10,bank_b,ua,6,0.009522055099395564,0.01576230252241893,0.04316851403788473,0.04436686910090084,0.9996571942973067,0.996968745769541,5,0.078125,0.05732998115008625
l9,local,9,0,ResNet10,bank_b,ua,7,0.002434002140879452,0.017512863870365613,0.011034619574241471,0.04929425366714554,0.9996571942973067,0.996968745769541,3,0.046875,0.05313522459282074
l9,local,9,0,ResNet10,bank_b,ua,8,0.0037801059872262927,0.012734681716399491,0.01713722055490192,0.035844887252324174,0.9996571942973067,0.996968745769541,1,0.015625,0.0034436150387338327
l9,local,9,0,ResNet10,bank_b,ua,9,0.003796269686850282,0.014037440159330904,0.017210499157770606,0.03951182063502144,0.9996571942973067,0.996968745769541,0,0.0,0.0
l9,local,9,0,ResNet10,bank_b,ub,0,0.07271048994126086,0.07301442417300111,0.33091238542807466,0.20517825588684002,0.9996571942973067,0.9968509862281971,14,0.21875,0.06884097045336197
l9,local,9,0,ResNet10,bank_b,ub,1,0.0035920054333521438,0.013428749928463667,0.016347559855275414,0.037736207883175214,0.9996571942973067,0.9968509862281971,3,0.046875,0.0009011148144293472
l9,local,9,0,ResNet10,bank_b,ub,2,0.004340740831996477,0.011477229582420805,0.01975512617782384,0.03225222926574446,0.9996571942973067,0.9968509862281971,0,0.0,0.0
l9,local,9,0,ResNet10,bank_b,ub,3,0.00024064694407037438,0.0130603639472396,0.0010952072303822401,0.03670100430556943,0.9996571942973067,0.9968509862281971,0,0.0,0.0
l9,local,9,0,ResNet10,bank_b,ub,4,0.11356835527673864,0.11410915086543524,0.5168604335375623,0.32065878517132423,0.9996571942973067,0.9968509862281971,33,0.515625,0.12043985533293068
l9,local,9,0,ResNet10,bank_b,ub,5,0.005032437380258821,0.0698082712055343,0.022903103243619532,0.19616862687966496,0.9996571942973067,0.9968509862281971,3,0.046875,0.24368889614369668
l9,local,9,0,ResNet10,bank_b,ub,6,0.010684770125093841,0.01711866695681491,0.048627409507235646,0.04810526507727704,0.9996571942973067,0.9968509862281971,7,0.109375,0.06392229535018336
l9,local,9,0,ResNet10,bank_b,ub,7,0.002273368373660679,0.01797720393678685,0.010346316633164368,0.050517844812859404,0.9996571942973067,0.9968509862281971,3,0.046875,0.05639863303462913
l9,local,9,0,ResNet10,bank_b,ub,8,0.0036265394247128988,0.012341701904017333,0.01650472734883476,0.034681487939172584,0.9996571942973067,0.9968509862281971,0,0.0,0.0
l9,local,9,0,ResNet10,bank_b,ub,9,0.0036579612403703173,0.01352272677931027,0.016647731033476103,0.03800029277556245,0.9996571942973067,0.9968509862281971,1,0.015625,0.0002813922668803148
l9,local,9,1,ResNet12,bank_a,ua,0,0.002809804695381913,0.016047810175232022,0.01269986868210795,0.04449101723089195,0.9999478223674556,0.99940288350423,3,0.046875,0.02421160539840336
l9,local,9,1,ResNet12,bank_a,ua,1,0.004172724217069285,0.0063858017265495046,0.018860047351521966,0.01770402388529411,0.9999478223674556,0.99940288350423,3,0.046875,0.052556806442306404
l9,local,9,1,ResNet12,bank_a,ua,2,0.001264588147174714,0.052003252885309416,0.00571573655367038,0.14417403963025635,0.9999478223674556,0.99940288350423,3,0.046875,0.012278483521455991
l9,local,9,1,ResNet12,bank_a,ua,3,0.16639479743718252,0.16708311590949387,0.7520779221101495,0.46322194166986597,0.9999478223674556,0.99940288350423,44,0.6875,0.27306726038355333
l9,local,9,1,ResNet12,bank_a,ua,4,0.0031444241653101296,0.0111470582025081,0.014212295269460957,0.03090415160362357,0.9999478223674556,0.99940288350423,3,0.046875,0.03944269382491333
l9,local,9,1,ResNet12,bank_a,ua,5,0.009871177904321134,0.010728660653393906,0.04461614834961491,0.02974418445771773,0.9999478223674556,0.99940288350423,1,0.015625,0.04525507983555532
l9,local,9,1,ResNet12,bank_a,ua,6,0.0016113112410723073,0.007659248769966252,0.007282869589212237,0.02123453388838017,0.9999478223674556,0.99940288350423,0,0.0,0.0
l9,local,9,1,ResNet12,bank_a,ua,7,0.024672772865903896,0.02504119539384292,0.11151699473470554,0.06942431668771216,0.9999478223674556,0.99940288350423,0,0.0,0.0
l9,local,9,1,ResNet12,bank_a,ua,8,0.0013282101171231933,0.01458148638730626,0.006003297701593113,0.040425774920426455,0.9999478223674556,0.99940288350423,0,0.0,0.0
l9,local,9,1,ResNet12,bank_a,ua,9,0.005976941101295127,0.05002012809566125,0.027014819653443732,0.13867601602305912,0.9999478223674556,0.99940288350423,7,0.109375,0.09226521314663617
l9,local,9,1,ResNet12,bank_a,ub,0,0.002670023402375559,0.014901205887494572,0.01202678583346475,0.04169089590043905,0.9999478223674556,0.9992436073268394,3,0.046875,0.02891103552469411
l9,local,9,1,ResNet12,bank_a,ub,1,0.003804521842705283,0.006256475098336127,0.01713699189312167,0.017504492857676825,0.9999478223674556,0.9992436073268394,2,0.03125,0.0694003639712874
l9,local,9,1,ResNet12,bank_a,ub,2,0.001450556889023312,0.04447920499958544,0.006533851736287673,0.12444482140389995,0.9999478223674556,0.9992436073268394,3,0.046875,0.01820341853709417
l9,local,9,1,ResNet12,bank_a,ub,3,0.16864764420225647,0.16920564049969036,0.7596521799525439,0.47340697102640944,0.9999478223674556,0.9992436073268394,45,0.703125,0.2702382043160953
l9,local,9,1,ResNet12,bank_a,ub,4,0.0027480382425274035,0.010142309511552487,0.012378193904833497,0.028376359150303804,0.9999478223674556,0.9992436073268394,3,0.046875,0.027312735562514442
l9,local,9,1,ResNet12,bank_a,ub,5,0.009702438892007602,0.010500078255286848,0.043703420169514014,0.029377331793999557,0.9999478223674556,0.9992436073268394,1,0.015625,0.06785957138282174
l9,local,9,1,ResNet12,bank_a,ub,6,0.0017049769241843761,0.007895163260342642,0.00767985490311471,0.022089247815853048,0.9999478223674556,0.9992436073268394,2,0.03125,0.009035007992975345
l9,local,9,1,ResNet12,bank_a,ub,7,0.025293229894182995,0.025735909286155233,0.11393018454567824,0.07200444870389228,0.9999478223674556,0.9992436073268394,0,0.0,0.0
l9,local,9,1,ResNet12,bank_a,ub,8,0.001483473473900547,0.016489013480760664,0.006682120368066462,0.04613329617197261,0.9999478223674556,0.9992436073268394,0,0.0,0.0
