arm,client,model,class,binding_family,generic_strength,harmful_positive_strength,harmful_diagonal_signed,valid_instance_support,generic_rank,harmful_rank,target_maps_new_class_from_old_class
h0,3,Mobilenetv2,1,0,0.0005070713326056454,0.15921987146732264,-0.05259143565965881,2800,9,5,6
h0,3,Mobilenetv2,2,1,0.0011885249685579622,0.16661886441891893,0.06043732168017069,3200,7,4,8
h0,3,Mobilenetv2,3,2,0.0016894246560050842,0.09599712363583521,0.03547179399447302,3200,5,8,9
h0,3,Mobilenetv2,4,3,0.00529907048683898,0.20605208015335827,0.14463341736830845,2800,3,0,5
h0,3,Mobilenetv2,5,0,0.001433402004961713,0.1705272343036549,-0.023602329245094,2800,6,3,4
h0,3,Mobilenetv2,6,1,0.008482151337742388,0.13520800919318496,0.03909459296662663,3200,0,6,1
h0,3,Mobilenetv2,7,2,0.0005182684640615775,0.05536131941436594,-0.0017406034507471489,3200,8,9,0
h0,3,Mobilenetv2,8,3,0.008348999026759014,0.1854816201999624,0.007617571042015919,2800,2,2,2
h0,3,Mobilenetv2,9,0,0.0028215651824435996,0.19245301569144974,0.06373527483385918,2800,4,1,3
h9,0,ResNet10,0,0,0.07097795650220849,3.5426780754619362,3.542353622308112,2800,1,0,7
h9,0,ResNet10,1,1,0.0032245777995498917,0.41633390257542485,-0.0357541171443006,2800,7,7,6
h9,0,ResNet10,2,2,0.005934648980991258,0.40728190305046647,0.3336192145816851,3200,3,8,8
h9,0,ResNet10,3,3,0.00029547403567629487,0.21504771190411595,0.033927858810178034,3200,9,9,4
h9,0,ResNet10,4,0,0.09966573532058863,2.790629219300286,2.75630000267176,2800,0,1,3
h9,0,ResNet10,5,1,0.00514719990001143,0.9437498590684182,0.8221840889749434,2800,4,3,9
h9,0,ResNet10,6,2,0.011233546534395192,0.5122933151616181,0.4266071275061739,3200,2,5,1
h9,0,ResNet10,7,3,0.002455684865685532,0.6534056303892325,0.47182436319155213,3200,8,4,0
h9,0,ResNet10,8,0,0.0032460071620665377,0.945745741808491,0.31570990297081286,2800,6,2,2
h9,0,ResNet10,9,1,0.003341558386141858,0.428440303540662,-0.022112644031253036,2800,5,6,5
h9,1,ResNet12,0,1,0.004061818065107777,0.8378198625144108,0.8153828078916886,2800,4,3,8
h9,1,ResNet12,1,2,0.005415670776816756,0.5651528233714805,0.5350601749565802,2800,3,6,4
h9,1,ResNet12,2,3,0.0010605917452213,1.4018188262888627,1.3751465907045115,3200,8,1,7
h9,1,ResNet12,3,0,0.16176441061237246,2.5857294263676294,2.5857294263676276,3200,0,0,6
h9,1,ResNet12,4,1,0.002546764324045641,0.700041088612565,0.6733735147445886,2800,6,5,1
h9,1,ResNet12,5,2,0.012742513443350348,0.5531680005769972,0.5415574529264576,2800,2,7,9
h9,1,ResNet12,6,3,0.0006458080437673669,0.11426087225059628,0.07586628738999372,3200,9,9,3
h9,1,ResNet12,7,0,0.019988421132769024,1.3209024232173334,1.3200900554837107,3200,1,2,2
h9,1,ResNet12,8,1,0.0034603616687200345,0.7215876618668986,0.6909165350785568,2800,5,4,0
