system,client,architecture,half,arm,mode,lambda,readout_gain,weighted_lambda
l9,0,ResNet10,u2,frozen,33,0.001637033401458197,0.16775477006553222,0.0002746201618512159
l9,0,ResNet10,u2,frozen,34,0.001359989323444699,0.29512133387874045,0.00040136186319584535
l9,0,ResNet10,u2,frozen,35,0.0013017000619478661,0.16385732886792848,0.00021329309513799439
l9,0,ResNet10,u2,frozen,36,0.0012513006024908644,0.2612769922532084,0.00032693605782344054
l9,0,ResNet10,u2,frozen,37,0.0009812797880856545,0.22174061811554302,0.0002175895867544021
l9,0,ResNet10,u2,frozen,38,0.0008395337382292006,0.3593174832326229,0.000301659149909392
l9,0,ResNet10,u2,frozen,39,0.00082611939458892,0.06215609214773455,5.134835321509959e-05
l9,0,ResNet10,u2,frozen,40,0.0008105563942593101,0.10961909892613488,8.88524615675225e-05
l9,0,ResNet10,u2,frozen,41,0.0007090339664055332,0.1805697886160305,0.0001280301134354328
l9,0,ResNet10,u2,frozen,42,0.0006803927389585838,0.1021621883636682,6.951041115875897e-05
l9,0,ResNet10,u2,frozen,43,0.0006222798855701053,0.12420980118189379,7.72932608661544e-05
l9,0,ResNet10,u2,frozen,44,0.0005506586592229234,0.11616136795480747,6.396526313149495e-05
l9,0,ResNet10,u2,frozen,45,0.00048308938951152695,0.08061648947087356,3.894497068304675e-05
l9,0,ResNet10,u2,frozen,46,0.00042293871906100365,0.15802949505617744,6.68367922129169e-05
